date,side,shares,price,value,lot_id,realized_pnl_before_tax,realized_pnl_after_tax,reason,event_type
2015-03-05,BUY,1,7481.496,7481.496,38,0.0,0.0,buy_signal,buy
2015-03-06,BUY,2,7601.5199999999995,15203.039999999999,39,0.0,0.0,buy_signal,buy
2015-03-09,SELL,1,7643.4710000000005,7643.4710000000005,38,160.80436986301407,128.13696212534276,take_profit,take_profit
2015-03-09,SELL,2,7643.4710000000005,15286.942000000001,39,82.71832876712514,65.91410027808367,take_profit,take_profit
2015-03-09,BUY,1,7646.5289999999995,7646.5289999999995,40,0.0,0.0,buy_signal,buy
2015-03-10,BUY,3,7646.5289999999995,22939.587,41,0.0,0.0,buy_signal,buy
2015-03-11,BUY,6,7396.479,44378.874,42,0.0,0.0,buy_signal,buy
2015-03-12,SELL,6,7563.487,45380.922,42,998.5890410958856,795.7256773972565,take_profit,take_profit
2015-03-12,BUY,4,7566.513,30266.052,43,0.0,0.0,buy_signal,buy
2015-03-13,SELL,4,7853.429,31413.716,43,1145.2889863013706,912.6235287342472,take_profit,take_profit
2015-03-13,BUY,1,7856.571,7856.571,44,0.0,0.0,buy_signal,buy
2015-03-16,SELL,1,7928.414,7928.414,40,278.95190410958924,222.2828247897262,take_profit,take_profit
2015-03-16,SELL,3,7928.414,23785.242,41,838.5978493150674,668.2366962267115,take_profit,take_profit
2015-03-18,SELL,1,8073.385,8073.385,44,214.97252054794552,171.30085299863038,take_profit,take_profit
2015-03-27,BUY,3,8141.628,24424.884,45,0.0,0.0,buy_signal,buy
2015-03-30,BUY,10,8056.611,80566.11,46,0.0,0.0,buy_signal,buy
2015-03-31,BUY,8,8296.659,66373.272,47,0.0,0.0,buy_signal,buy
2015-04-01,BUY,14,7976.595,111672.33,48,0.0,0.0,buy_signal,buy
2015-04-02,BUY,20,7906.581,158131.62,49,0.0,0.0,buy_signal,buy
2015-04-03,SELL,20,8063.387000000001,161267.74000000002,49,3123.753972602764,2489.1633530685126,take_profit,take_profit
2015-04-03,BUY,6,8066.612999999999,48399.678,50,0.0,0.0,buy_signal,buy
2015-04-06,SELL,14,8038.392,112537.488,48,839.3074794520506,668.8021650013666,take_profit,take_profit
2015-04-06,BUY,3,8041.608,24124.824,51,0.0,0.0,buy_signal,buy
2015-04-07,BUY,5,8251.65,41258.25,52,0.0,0.0,buy_signal,buy
2015-04-08,SELL,3,8413.317000000001,25239.951,45,800.1667808219205,637.6128992979474,take_profit,take_profit
2015-04-08,SELL,10,8413.317000000001,84133.17000000001,46,3523.560273972615,2807.7490043150783,take_profit,take_profit
2015-04-08,SELL,6,8413.317000000001,50479.902,50,2068.8920547945227,1648.5966338630153,take_profit,take_profit
2015-04-08,SELL,3,8413.317000000001,25239.951,51,1111.3389452054798,885.5704384869866,take_profit,take_profit
2015-04-08,BUY,1,8416.682999999999,8416.682999999999,53,0.0,0.0,buy_signal,buy
