label,family,cadence,repeated,exit,final_equity,total_return,cagr,max_drawdown_pct,max_drawdown_abs,calmar,sortino,sharpe_like,ulcer_index,cvar_95_daily,time_in_drawdown_pct,avg_invested_pct,deployed_total,n_buys,n_sells,exited_early
trend200|maexit200|monthly|1shot,trend,monthly,False,maexit200,9888706.69,-0.011129,-0.000478,0.019103,191045.76,-0.025,-0.0486,-0.2455,1.1105,8e-06,0.9993,0.0005,347222.22,10,1,True
trend200|maexit200|monthly|rot,trend,monthly,True,maexit200,9888706.69,-0.011129,-0.000478,0.019103,191045.76,-0.025,-0.0486,-0.2455,1.1105,8e-06,0.9993,0.0005,347222.22,10,1,True
trend200|maexit200b|monthly|1shot,trend,monthly,False,maexit200b,9888706.69,-0.011129,-0.000478,0.019103,191045.76,-0.025,-0.0486,-0.2455,1.1105,8e-06,0.9993,0.0005,347222.22,10,1,True
trend200|maexit200b|monthly|rot,trend,monthly,True,maexit200b,9888706.69,-0.011129,-0.000478,0.019103,191045.76,-0.025,-0.0486,-0.2455,1.1105,8e-06,0.9993,0.0005,347222.22,10,1,True
dca96|maexit200|monthly|1shot,dca,monthly,False,maexit200,9666120.08,-0.033388,-0.001449,0.057298,573137.28,-0.0253,-0.0479,-0.2405,3.3308,2.6e-05,0.9993,0.0015,1041666.67,10,1,True
dca96|maexit200|monthly|rot,dca,monthly,True,maexit200,9666120.08,-0.033388,-0.001449,0.057298,573137.28,-0.0253,-0.0479,-0.2405,3.3308,2.6e-05,0.9993,0.0015,1041666.67,10,1,True
dca96|maexit200b|monthly|1shot,dca,monthly,False,maexit200b,9666120.08,-0.033388,-0.001449,0.057298,573137.28,-0.0253,-0.0479,-0.2405,3.3308,2.6e-05,0.9993,0.0015,1041666.67,10,1,True
dca96|maexit200b|monthly|rot,dca,monthly,True,maexit200b,9666120.08,-0.033388,-0.001449,0.057298,573137.28,-0.0253,-0.0479,-0.2405,3.3308,2.6e-05,0.9993,0.0015,1041666.67,10,1,True
dca48|maexit200|monthly|1shot,dca,monthly,False,maexit200,9332240.15,-0.066776,-0.002946,0.114563,1146274.55,-0.0257,-0.0467,-0.2326,6.6597,5.2e-05,0.9993,0.003,2083333.33,10,1,True
dca48|maexit200|monthly|rot,dca,monthly,True,maexit200,9332240.15,-0.066776,-0.002946,0.114563,1146274.55,-0.0257,-0.0467,-0.2326,6.6597,5.2e-05,0.9993,0.003,2083333.33,10,1,True
dca48|maexit200b|monthly|1shot,dca,monthly,False,maexit200b,9332240.15,-0.066776,-0.002946,0.114563,1146274.55,-0.0257,-0.0467,-0.2326,6.6597,5.2e-05,0.9993,0.003,2083333.33,10,1,True
dca48|maexit200b|monthly|rot,dca,monthly,True,maexit200b,9332240.15,-0.066776,-0.002946,0.114563,1146274.55,-0.0257,-0.0467,-0.2326,6.6597,5.2e-05,0.9993,0.003,2083333.33,10,1,True
trend200|maexit200|daily|rot,trend,daily,True,maexit200,9887459.23,-0.011254,-0.000483,0.018294,182945.3,-0.0264,-0.0522,-0.2711,1.1167,8e-06,0.9995,0.0004,337116.72,199,1,True
dca24|maexit200|monthly|1shot,dca,monthly,False,maexit200,8664480.3,-0.133552,-0.006101,0.228997,2292549.1,-0.0266,-0.0439,-0.2146,13.3119,0.00011,0.9993,0.0062,4166666.67,10,1,True
dca24|maexit200|monthly|rot,dca,monthly,True,maexit200,8664480.3,-0.133552,-0.006101,0.228997,2292549.1,-0.0266,-0.0439,-0.2146,13.3119,0.00011,0.9993,0.0062,4166666.67,10,1,True
