label,family,cadence,repeated,exit,final_equity,total_return,cagr,max_drawdown_pct,max_drawdown_abs,calmar,sortino,sharpe_like,ulcer_index,cvar_95_daily,time_in_drawdown_pct,avg_invested_pct,deployed_total,n_buys,n_sells,exited_early
scaled_invvol|trail25|monthly|rot,scaled,monthly,True,trail25,10891772.88,0.089177,0.006767,0.252757,3684174.93,0.0268,0.0918,0.1209,16.3124,0.015264,0.9727,0.1404,4429921.82,97,1,True
trend100|trail35|monthly|1shot,trend,monthly,False,trail35,11081948.62,0.108195,0.008143,0.350081,5969325.57,0.0233,0.0972,0.1278,22.5117,0.020984,0.9721,0.1969,5833333.33,49,1,True
trend100|trail35|monthly|rot,trend,monthly,True,trail35,11081948.62,0.108195,0.008143,0.350081,5969325.57,0.0233,0.0972,0.1278,22.5117,0.020984,0.9721,0.1969,5833333.33,49,1,True
scaled_rsi|trail35|monthly|1shot,scaled,monthly,False,trail35,10989326.83,0.098933,0.007476,0.365347,6326168.87,0.0205,0.0933,0.1225,23.6547,0.022105,0.9734,0.2193,6513639.27,97,1,True
scaled_rsi|trail35|monthly|rot,scaled,monthly,True,trail35,10989326.83,0.098933,0.007476,0.365347,6326168.87,0.0205,0.0933,0.1225,23.6547,0.022105,0.9734,0.2193,6513639.27,97,1,True
trend200|trail35|monthly|1shot,trend,monthly,False,trail35,10706292.63,0.070629,0.005402,0.359038,5997172.9,0.015,0.0796,0.1051,23.0149,0.020973,0.9734,0.1921,5833333.33,55,1,True
trend200|trail35|monthly|rot,trend,monthly,True,trail35,10706292.63,0.070629,0.005402,0.359038,5997172.9,0.015,0.0796,0.1051,23.0149,0.020973,0.9734,0.1921,5833333.33,55,1,True
lump|trail15|monthly|1shot,lump,monthly,False,trail15,9910552.95,-0.008945,-0.000709,0.172172,2061194.83,-0.0041,0.0032,0.0242,17.0347,0.000231,0.9959,0.0222,10000000.0,1,1,True
lump|trail15|monthly|rot,lump,monthly,True,trail15,9910552.95,-0.008945,-0.000709,0.172172,2061194.83,-0.0041,0.0032,0.0242,17.0347,0.000231,0.9959,0.0222,10000000.0,1,1,True
scaled_invvol|trail35|monthly|1shot,scaled,monthly,False,trail35,9468258.62,-0.053174,-0.004304,0.350419,5107689.2,-0.0123,0.0033,0.0044,22.0475,0.01724,0.9727,0.1466,4494024.39,99,1,True
scaled_invvol|trail35|monthly|rot,scaled,monthly,True,trail35,9468258.62,-0.053174,-0.004304,0.350419,5107689.2,-0.0123,0.0033,0.0044,22.0475,0.01724,0.9727,0.1466,4494024.39,99,1,True
scaled_invvol|hold|daily|1shot,scaled,daily,False,hold,7927731.47,-0.207227,-0.018166,0.575344,8437586.12,-0.0316,-0.0366,-0.0387,30.3656,0.025289,0.9712,0.2976,6884742.63,3192,0,False
scaled_invvol|hold|monthly|1shot,scaled,monthly,False,hold,7879252.09,-0.212075,-0.018641,0.57479,8378115.83,-0.0324,-0.0402,-0.0425,30.3439,0.025209,0.9727,0.2972,6859011.43,156,0,False
trend200|hold|daily|1shot,trend,daily,False,hold,7321316.21,-0.267868,-0.024315,0.720708,12314936.11,-0.0337,0.0185,0.0194,37.5172,0.038223,0.9709,0.4635,10000000.0,1507,0,False
trend100|hold|monthly|1shot,trend,monthly,False,hold,7282521.81,-0.271748,-0.024724,0.723659,12339312.15,-0.0342,0.0229,0.024,37.8575,0.039207,0.9721,0.4691,10000000.0,72,0,False
trend200|hold|monthly|1shot,trend,monthly,False,hold,7242744.88,-0.275726,-0.025146,0.71731,11981563.61,-0.0351,0.0111,0.0117,36.9984,0.037524,0.9734,0.4546,10000000.0,75,0,False
lump|trail25|monthly|1shot,lump,monthly,False,trail25,8893727.72,-0.110627,-0.009213,0.257107,3078020.06,-0.0358,-0.013,-0.0923,25.4183,0.000276,0.9959,0.0247,10000000.0,1,1,True
lump|trail25|monthly|rot,lump,monthly,True,trail25,8893727.72,-0.110627,-0.009213,0.257107,3078020.06,-0.0358,-0.013,-0.0923,25.4183,0.000276,0.9959,0.0247,10000000.0,1,1,True
va96_6|hold|monthly|1shot,value_avg,monthly,False,hold,6673806.66,-0.332619,-0.031422,0.874615,23796072.19,-0.0359,0.1335,0.1373,48.1358,0.06379,0.9709,0.8028,10000000.0,35,0,False
scaled_rsi|hold|monthly|1shot,scaled,monthly,False,hold,6814954.47,-0.318505,-0.02982,0.754824,13070154.97,-0.0395,0.0313,0.0328,39.6236,0.043988,0.9734,0.5268,10000000.0,146,0,False
dca48|hold|daily|1shot,dca,daily,False,hold,5730013.85,-0.426999,-0.043011,0.881899,21871615.76,-0.0488,0.111,0.1142,49.4755,0.064907,0.9724,0.8162,10000000.0,1008,0,False
dca48|hold|monthly|1shot,dca,monthly,False,hold,5635197.17,-0.43648,-0.044271,0.881899,21509697.97,-0.0502,0.1094,0.1126,49.6566,0.065102,0.9743,0.8226,10000000.0,48,0,False
mom252|momexit|monthly|rot,momentum,monthly,True,momexit,6135427.67,-0.386457,-0.037832,0.687141,8226284.2,-0.0551,-0.0149,-0.0244,47.7264,0.044318,0.995,0.407,131196614.67,20,19,False
lump|trail35|monthly|1shot,lump,monthly,False,trail35,7752535.35,-0.224746,-0.019897,0.352431,4219212.42,-0.0565,-0.0315,-0.2036,34.7998,0.00036,0.9959,0.0288,10000000.0,1,1,True
lump|trail35|monthly|rot,lump,monthly,True,trail35,7752535.35,-0.224746,-0.019897,0.352431,4219212.42,-0.0565,-0.0315,-0.2036,34.7998,0.00036,0.9959,0.0288,10000000.0,1,1,True
scaled_invvol|maexit200|daily|rot,scaled,daily,True,maexit200,9882666.2,-0.011733,-0.000931,0.015718,157574.94,-0.0593,-0.092,-0.3942,1.3847,1.6e-05,0.9944,0.0012,428707.27,200,1,True
trend200|maexit200|daily|rot,trend,daily,True,maexit200,9838818.62,-0.016118,-0.001282,0.021138,211963.32,-0.0607,-0.0921,-0.3907,1.8383,2.1e-05,0.9944,0.0017,623433.58,199,1,True
scaled_invvol|maexit200|monthly|1shot,scaled,monthly,False,maexit200,9861462.87,-0.013854,-0.001101,0.018092,181409.15,-0.0608,-0.0961,-0.4154,1.6114,1.8e-05,0.9959,0.0014,460374.18,10,1,True
scaled_invvol|maexit200|monthly|rot,scaled,monthly,True,maexit200,9861462.87,-0.013854,-0.001101,0.018092,181409.15,-0.0608,-0.0961,-0.4154,1.6114,1.8e-05,0.9959,0.0014,460374.18,10,1,True
scaled_invvol|maexit200b|monthly|1shot,scaled,monthly,False,maexit200b,9861462.87,-0.013854,-0.001101,0.018092,181409.15,-0.0608,-0.0961,-0.4154,1.6114,1.8e-05,0.9959,0.0014,460374.18,10,1,True
scaled_invvol|maexit200b|monthly|rot,scaled,monthly,True,maexit200b,9861462.87,-0.013854,-0.001101,0.018092,181409.15,-0.0608,-0.0961,-0.4154,1.6114,1.8e-05,0.9959,0.0014,460374.18,10,1,True
scaled_invvol|glide12|monthly|1shot,scaled,monthly,False,glide12,6361762.58,-0.363824,-0.035076,0.57479,8378115.83,-0.061,-0.1481,-0.1644,30.7455,0.024894,0.9727,0.2589,6246249.66,144,13,True
trend100|maexit200|monthly|1shot,trend,monthly,False,maexit200,9870640.78,-0.012936,-0.001027,0.016605,166503.72,-0.0619,-0.0945,-0.4155,1.5339,1.6e-05,0.9959,0.0013,320512.82,5,1,True
trend100|maexit200|monthly|rot,trend,monthly,True,maexit200,9870640.78,-0.012936,-0.001027,0.016605,166503.72,-0.0619,-0.0945,-0.4155,1.5339,1.6e-05,0.9959,0.0013,320512.82,5,1,True
trend100|maexit200b|monthly|1shot,trend,monthly,False,maexit200b,9870640.78,-0.012936,-0.001027,0.016605,166503.72,-0.0619,-0.0945,-0.4155,1.5339,1.6e-05,0.9959,0.0013,320512.82,5,1,True
trend100|maexit200b|monthly|rot,trend,monthly,True,maexit200b,9870640.78,-0.012936,-0.001027,0.016605,166503.72,-0.0619,-0.0945,-0.4155,1.5339,1.6e-05,0.9959,0.0013,320512.82,5,1,True
dca48|maexit200|daily|rot,dca,daily,True,maexit200,9489592.3,-0.051041,-0.004127,0.066537,671217.17,-0.062,-0.0914,-0.387,5.7865,6.8e-05,0.9944,0.0053,1984126.98,200,1,True
dca96|hold|monthly|1shot,dca,monthly,False,hold,4903463.88,-0.509654,-0.054708,0.881224,18596067.32,-0.0621,0.0567,0.0587,48.0129,0.061941,0.9731,0.6807,10000000.0,96,0,False
scaled_rsi|maexit200|monthly|1shot,scaled,monthly,False,maexit200,9820281.14,-0.017972,-0.001431,0.023016,230729.75,-0.0622,-0.0927,-0.3903,1.9889,2.4e-05,0.9959,0.0019,706476.25,10,1,True
scaled_rsi|maexit200|monthly|rot,scaled,monthly,True,maexit200,9820281.14,-0.017972,-0.001431,0.023016,230729.75,-0.0622,-0.0927,-0.3903,1.9889,2.4e-05,0.9959,0.0019,706476.25,10,1,True
scaled_rsi|maexit200b|monthly|1shot,scaled,monthly,False,maexit200b,9820281.14,-0.017972,-0.001431,0.023016,230729.75,-0.0622,-0.0927,-0.3903,1.9889,2.4e-05,0.9959,0.0019,706476.25,10,1,True
scaled_rsi|maexit200b|monthly|rot,scaled,monthly,True,maexit200b,9820281.14,-0.017972,-0.001431,0.023016,230729.75,-0.0622,-0.0927,-0.3903,1.9889,2.4e-05,0.9959,0.0019,706476.25,10,1,True
trend200|maexit200|monthly|1shot,trend,monthly,False,maexit200,9818118.59,-0.018188,-0.001448,0.023173,232375.07,-0.0625,-0.0979,-0.419,2.0393,2.3e-05,0.9959,0.0018,641025.64,10,1,True
trend200|maexit200|monthly|rot,trend,monthly,True,maexit200,9818118.59,-0.018188,-0.001448,0.023173,232375.07,-0.0625,-0.0979,-0.419,2.0393,2.3e-05,0.9959,0.0018,641025.64,10,1,True
trend200|maexit200b|monthly|1shot,trend,monthly,False,maexit200b,9818118.59,-0.018188,-0.001448,0.023173,232375.07,-0.0625,-0.0979,-0.419,2.0393,2.3e-05,0.9959,0.0018,641025.64,10,1,True
trend200|maexit200b|monthly|rot,trend,monthly,True,maexit200b,9818118.59,-0.018188,-0.001448,0.023173,232375.07,-0.0625,-0.0979,-0.419,2.0393,2.3e-05,0.9959,0.0018,641025.64,10,1,True
va96_6|maexit200|monthly|1shot,value_avg,monthly,False,maexit200,9671661.71,-0.032834,-0.002632,0.041967,421495.6,-0.0627,-0.0908,-0.3804,3.61,4.5e-05,0.9959,0.0035,1325283.04,10,1,True
va96_6|maexit200|monthly|rot,value_avg,monthly,True,maexit200,9671661.71,-0.032834,-0.002632,0.041967,421495.6,-0.0627,-0.0908,-0.3804,3.61,4.5e-05,0.9959,0.0035,1325283.04,10,1,True
va96_6|maexit200b|monthly|1shot,value_avg,monthly,False,maexit200b,9671661.71,-0.032834,-0.002632,0.041967,421495.6,-0.0627,-0.0908,-0.3804,3.61,4.5e-05,0.9959,0.0035,1325283.04,10,1,True
va96_6|maexit200b|monthly|rot,value_avg,monthly,True,maexit200b,9671661.71,-0.032834,-0.002632,0.041967,421495.6,-0.0627,-0.0908,-0.3804,3.61,4.5e-05,0.9959,0.0035,1325283.04,10,1,True
dca96|maexit200|monthly|1shot,dca,monthly,False,maexit200,9704442.7,-0.029556,-0.002366,0.037592,377609.49,-0.0629,-0.0977,-0.4179,3.3082,3.8e-05,0.9959,0.0029,1041666.67,10,1,True
dca96|maexit200|monthly|rot,dca,monthly,True,maexit200,9704442.7,-0.029556,-0.002366,0.037592,377609.49,-0.0629,-0.0977,-0.4179,3.3082,3.8e-05,0.9959,0.0029,1041666.67,10,1,True
dca96|maexit200b|monthly|1shot,dca,monthly,False,maexit200b,9704442.7,-0.029556,-0.002366,0.037592,377609.49,-0.0629,-0.0977,-0.4179,3.3082,3.8e-05,0.9959,0.0029,1041666.67,10,1,True
dca96|maexit200b|monthly|rot,dca,monthly,True,maexit200b,9704442.7,-0.029556,-0.002366,0.037592,377609.49,-0.0629,-0.0977,-0.4179,3.3082,3.8e-05,0.9959,0.0029,1041666.67,10,1,True
va48_0|maexit200|monthly|1shot,value_avg,monthly,False,maexit200,9367078.08,-0.063292,-0.005149,0.080652,813453.98,-0.0638,-0.0901,-0.3766,6.9504,8.8e-05,0.9959,0.0069,2532306.31,10,1,True
va48_0|maexit200|monthly|rot,value_avg,monthly,True,maexit200,9367078.08,-0.063292,-0.005149,0.080652,813453.98,-0.0638,-0.0901,-0.3766,6.9504,8.8e-05,0.9959,0.0069,2532306.31,10,1,True
va48_0|maexit200b|monthly|1shot,value_avg,monthly,False,maexit200b,9367078.08,-0.063292,-0.005149,0.080652,813453.98,-0.0638,-0.0901,-0.3766,6.9504,8.8e-05,0.9959,0.0069,2532306.31,10,1,True
va48_0|maexit200b|monthly|rot,value_avg,monthly,True,maexit200b,9367078.08,-0.063292,-0.005149,0.080652,813453.98,-0.0638,-0.0901,-0.3766,6.9504,8.8e-05,0.9959,0.0069,2532306.31,10,1,True
dca48|maexit200|monthly|1shot,dca,monthly,False,maexit200,9408885.4,-0.059111,-0.004799,0.07485,755218.99,-0.0641,-0.0971,-0.415,6.587,7.6e-05,0.9959,0.0059,2083333.33,10,1,True
dca48|maexit200|monthly|rot,dca,monthly,True,maexit200,9408885.4,-0.059111,-0.004799,0.07485,755218.99,-0.0641,-0.0971,-0.415,6.587,7.6e-05,0.9959,0.0059,2083333.33,10,1,True
dca48|maexit200b|monthly|1shot,dca,monthly,False,maexit200b,9408885.4,-0.059111,-0.004799,0.07485,755218.99,-0.0641,-0.0971,-0.415,6.587,7.6e-05,0.9959,0.0059,2083333.33,10,1,True
dca48|maexit200b|monthly|rot,dca,monthly,True,maexit200b,9408885.4,-0.059111,-0.004799,0.07485,755218.99,-0.0641,-0.0971,-0.415,6.587,7.6e-05,0.9959,0.0059,2083333.33,10,1,True
dca24|maexit200|monthly|1shot,dca,monthly,False,maexit200,8817770.81,-0.118223,-0.009884,0.14838,1510437.97,-0.0666,-0.096,-0.4086,13.0579,0.000157,0.9959,0.0122,4166666.67,10,1,True
dca24|maexit200|monthly|rot,dca,monthly,True,maexit200,8817770.81,-0.118223,-0.009884,0.14838,1510437.97,-0.0666,-0.096,-0.4086,13.0579,0.000157,0.9959,0.0122,4166666.67,10,1,True
dca24|maexit200b|monthly|1shot,dca,monthly,False,maexit200b,8817770.81,-0.118223,-0.009884,0.14838,1510437.97,-0.0666,-0.096,-0.4086,13.0579,0.000157,0.9959,0.0122,4166666.67,10,1,True
dca24|maexit200b|monthly|rot,dca,monthly,True,maexit200b,8817770.81,-0.118223,-0.009884,0.14838,1510437.97,-0.0666,-0.096,-0.4086,13.0579,0.000157,0.9959,0.0122,4166666.67,10,1,True
va48_0|hold|monthly|1shot,value_avg,monthly,False,hold,4473949.3,-0.552605,-0.061524,0.881899,17077183.86,-0.0698,0.0893,0.0915,51.7345,0.067515,0.9803,0.889,10000000.0,25,0,False
va48_0|tp100|monthly|1shot,value_avg,monthly,False,tp100,4473949.3,-0.552605,-0.061524,0.881899,17077183.86,-0.0698,0.0893,0.0915,51.7345,0.067515,0.9803,0.889,10000000.0,25,0,False
va48_0|tp100|monthly|rot,value_avg,monthly,True,tp100,4473949.3,-0.552605,-0.061524,0.881899,17077183.86,-0.0698,0.0893,0.0915,51.7345,0.067515,0.9803,0.889,10000000.0,25,0,False
va96_6|glide12|monthly|1shot,value_avg,monthly,False,glide12,4429273.14,-0.557073,-0.062268,0.874615,23796072.19,-0.0712,0.0485,0.052,48.4831,0.063499,0.9709,0.7256,10000000.0,35,12,True
lump|maexit200|monthly|1shot,lump,monthly,False,maexit200,6239088.04,-0.376091,-0.036558,0.504809,6043441.48,-0.0724,-0.0668,-0.2776,46.9587,0.000763,0.9959,0.0623,10000000.0,1,1,True
lump|maexit200|monthly|rot,lump,monthly,True,maexit200,6239088.04,-0.376091,-0.036558,0.504809,6043441.48,-0.0724,-0.0668,-0.2776,46.9587,0.000763,0.9959,0.0623,10000000.0,1,1,True
