combo,n_components,tp_pct,n_trades,n_signals_raw,hit_rate,avg_days_to_tp,avg_win_return,failure_mean,failure_median,avg_mfe,avg_mae,expected_value
52W<30 + DD<=-10 + DD<=-15,3,10,3,26,100.0000,44.0000,9.8260,0.0000,0.0000,10.7404,-4.3224,9.8260
52W<30 + DD<=-15 + vsMA75<-5,3,10,3,22,100.0000,44.0000,9.8260,0.0000,0.0000,10.7404,-4.3224,9.8260
52W<30 + DD<=-15,2,10,3,26,100.0000,44.0000,9.8260,0.0000,0.0000,10.7404,-4.3224,9.8260
52W<20 + DD<=-10 + STREAK>=5,3,15,2,25,50.0000,16.0000,14.8860,4.7508,4.7508,12.8714,-4.0492,9.8184
52W<30 + 52W<20 + STREAK>=5,3,15,2,25,50.0000,16.0000,14.8860,4.7508,4.7508,12.8714,-4.0492,9.8184
52W<20 + STREAK>=5,2,15,2,25,50.0000,16.0000,14.8860,4.7508,4.7508,12.8714,-4.0492,9.8184
52W<20 + STREAK>=5 + vsMA75<-5,3,15,2,22,50.0000,16.0000,14.8860,4.7508,4.7508,12.8714,-4.0492,9.8184
RSI<35 + RET20<-5 + GOLDEN,3,10,5,26,100.0000,69.0000,9.8090,0.0000,0.0000,10.5762,-6.9572,9.8090
DD<=-10 + vsMA25<-5 + vsMA75<-5,3,15,2,22,50.0000,219.0000,14.8599,4.7508,4.7508,13.2316,-9.6286,9.8054
RSI<40 + DD<=-10 + STREAK>=5,3,15,2,37,50.0000,215.0000,14.7851,4.7508,4.7508,13.1938,-9.6571,9.7679
DD<=-10 + STREAK>=5 + RET20<-5,3,15,2,56,50.0000,215.0000,14.7851,4.7508,4.7508,13.1938,-9.6571,9.7679
DD<=-10 + STREAK>=5 + vsMA75<-5,3,15,2,52,50.0000,215.0000,14.7851,4.7508,4.7508,13.1938,-9.6571,9.7679
STREAK>=5 + RET20<-5 + vsMA75<-5,3,15,2,39,50.0000,215.0000,14.7851,4.7508,4.7508,13.1938,-9.6571,9.7679
