date,side,shares,price,value,lot_id,realized_pnl_before_tax,realized_pnl_after_tax,reason,event_type
2020-06-04,SELL,63,10047.99,633023.37,594,42555.80527397255,33910.59343256503,take_profit,take_profit
2020-06-09,SELL,59,10272.945,606103.755,590,16527.751630136958,13170.138886474635,take_profit,take_profit
2020-06-09,SELL,59,10272.945,606103.755,591,21589.06016438356,17203.24259198904,take_profit,take_profit
2020-08-14,SELL,58,10362.927,601049.766,589,15422.860246575328,12289.70618748355,take_profit,take_profit
2020-11-06,SELL,4,11192.761,44771.044,582,906.1485479452103,722.0644704301409,take_profit,take_profit
2020-11-06,SELL,51,11192.761,570830.811,584,2632.1714794520403,2097.4458434013586,take_profit,take_profit
2020-11-06,SELL,53,11192.761,593216.333,585,8081.278821917887,6439.567029245269,take_profit,take_profit
2020-11-06,SELL,54,11192.761,604409.094,586,13139.031452054918,10469.83721256996,take_profit,take_profit
2020-11-06,SELL,53,11192.761,593216.333,588,8743.786082191773,6967.485939594514,take_profit,take_profit
2020-11-09,SELL,52,11587.682,602559.464,587,16283.01786301377,12975.122784142524,take_profit,take_profit
2020-11-10,SELL,38,12212.557,464077.166,450,25719.498876712365,20494.58267990825,take_profit,take_profit
2020-11-10,SELL,36,12212.557,439652.052,570,23045.023726027423,18363.427156084952,take_profit,take_profit
2020-11-10,SELL,1,12212.557,12212.557,571,639.545671232878,509.6219681219188,take_profit,take_profit
2020-11-10,SELL,51,12212.557,622840.407,572,32916.24604109591,26229.310657847276,take_profit,take_profit
2020-11-10,SELL,50,12212.557,610627.8500000001,573,35314.88698630146,28140.66769503432,take_profit,take_profit
2020-11-10,SELL,51,12212.557,622840.407,574,37085.774095890425,29551.799088310287,take_profit,take_profit
2020-11-10,SELL,51,12212.557,622840.407,575,39170.43053424664,31212.957571214436,take_profit,take_profit
2020-11-10,SELL,37,12212.557,451864.60900000005,576,21418.757164383627,17067.536646439094,take_profit,take_profit
2020-11-10,SELL,45,12212.557,549565.0650000001,577,32615.53273972607,25989.687263650718,take_profit,take_profit
2020-11-12,SELL,30,12422.515,372675.44999999995,378,7959.233835616369,6342.315481910904,take_profit,take_profit
2020-11-12,SELL,10,12422.515,124225.15,382,3788.3132876712416,3018.717443280829,take_profit,take_profit
2020-12-23,BUY,1,13507.701,13507.701,609,0.0,0.0,buy_signal,buy
2020-12-29,SELL,1,13897.220000000001,13897.220000000001,609,385.34278082191986,307.0603948979468,take_profit,take_profit
