date,side,shares,price,value,lot_id,realized_pnl_before_tax,realized_pnl_after_tax,reason,event_type
2020-11-10,SELL,2,12212.557,24425.114,460,860.0978082191801,685.3689384794537,take_profit,take_profit
2020-11-10,SELL,8,12212.557,97700.456,461,5207.754739726035,4149.799364350691,take_profit,take_profit
2020-11-10,SELL,28,12212.557,341951.596,611,17923.907342465824,14282.665565843892,take_profit,take_profit
2020-11-10,SELL,2,12212.557,24425.114,612,1279.091342465756,1019.2439362438377,take_profit,take_profit
2020-11-10,SELL,51,12212.557,622840.407,613,32916.24604109591,26229.310657847276,take_profit,take_profit
2020-11-10,SELL,51,12212.557,622840.407,614,36021.184726027386,28703.481048934922,take_profit,take_profit
2020-11-10,SELL,51,12212.557,622840.407,615,37085.774095890425,29551.799088310287,take_profit,take_profit
2020-11-10,SELL,51,12212.557,622840.407,616,39170.43053424664,31212.957571214436,take_profit,take_profit
2020-11-10,SELL,39,12212.557,476289.723,617,22576.52782191781,17990.10619489521,take_profit,take_profit
2020-11-10,SELL,47,12212.557,573990.179,618,34065.11197260274,27144.78447536849,take_profit,take_profit
2020-11-10,SELL,47,12212.557,573990.179,623,36144.13186301375,28801.451475042504,take_profit,take_profit
2020-11-10,SELL,7,12212.557,85487.899,624,3988.9914246575454,3178.6278167383653,take_profit,take_profit
2020-11-10,SELL,2,12212.557,24425.114,625,1183.2386301369877,942.8637024246586,take_profit,take_profit
2020-11-10,SELL,3,12212.557,36637.671,626,1495.095246575342,1191.3666472335613,take_profit,take_profit
2020-11-10,SELL,7,12212.557,85487.899,627,3494.779246575343,2784.8148426335624,take_profit,take_profit
2020-11-10,SELL,51,12212.557,622840.407,628,37493.804136986335,29876.93782655756,take_profit,take_profit
2020-11-10,SELL,28,12212.557,341951.596,629,20329.53271232878,16199.588141819188,take_profit,take_profit
2020-11-10,SELL,51,12212.557,622840.407,630,36052.797041095946,28728.671322197304,take_profit,take_profit
2020-11-12,SELL,1,12422.515,12422.515,459,182.16653424657477,145.1594028143831,take_profit,take_profit
2020-12-23,BUY,1,13507.701,13507.701,663,0.0,0.0,buy_signal,buy
2020-12-29,SELL,1,13897.220000000001,13897.220000000001,663,385.34278082191986,307.0603948979468,take_profit,take_profit
2021-02-01,BUY,1,14597.919,14597.919,664,0.0,0.0,buy_signal,buy
2021-02-02,SELL,1,15221.955,15221.955,664,622.8795616438357,496.34157869589046,take_profit,take_profit
2021-02-03,BUY,3,15478.095,46434.284999999996,665,0.0,0.0,buy_signal,buy
2021-02-04,BUY,2,15603.119999999999,31206.239999999998,666,0.0,0.0,buy_signal,buy
2021-02-05,BUY,2,15678.135,31356.27,667,0.0,0.0,buy_signal,buy
2021-02-09,SELL,3,16621.675,49865.024999999994,665,3416.160821917806,2722.167750945204,take_profit,take_profit
2021-02-09,SELL,2,16621.675,33243.35,666,2029.7954794520554,1617.4425278013703,take_profit,take_profit
2021-02-09,SELL,2,16621.675,33243.35,667,1882.124383561642,1499.7708150410945,take_profit,take_profit
2021-02-22,BUY,1,17503.5,17503.5,668,0.0,0.0,buy_signal,buy
2021-02-24,BUY,1,17153.43,17153.43,669,0.0,0.0,buy_signal,buy
2021-02-25,BUY,3,17353.47,52060.41,670,0.0,0.0,buy_signal,buy
2021-02-26,BUY,2,16678.335,33356.67,671,0.0,0.0,buy_signal,buy
2021-03-01,BUY,5,16628.325,83141.625,672,0.0,0.0,buy_signal,buy
2021-03-02,BUY,3,17028.405,51085.215,673,0.0,0.0,buy_signal,buy
2021-03-03,BUY,4,16578.315,66313.26,674,0.0,0.0,buy_signal,buy
2021-03-04,BUY,3,16153.23,48459.69,675,0.0,0.0,buy_signal,buy
2021-03-05,BUY,22,15678.135,344918.97000000003,676,0.0,0.0,buy_signal,buy
2021-03-08,BUY,21,16253.25,341318.25,677,0.0,0.0,buy_signal,buy
2021-03-09,BUY,22,15728.145,346019.19,678,0.0,0.0,buy_signal,buy
2021-03-10,BUY,21,16178.234999999999,339742.935,679,0.0,0.0,buy_signal,buy
2021-03-11,BUY,22,16028.205,352620.51,680,0.0,0.0,buy_signal,buy
2021-03-12,BUY,21,16353.27,343418.67,681,0.0,0.0,buy_signal,buy
2021-03-15,SELL,22,16896.62,371725.63999999996,676,26643.809726027324,21231.119780184876,take_profit,take_profit
2021-03-15,SELL,22,16896.62,371725.63999999996,678,25596.751369862966,20396.771329075305,take_profit,take_profit
2021-03-15,BUY,18,16903.38,304260.84,682,0.0,0.0,buy_signal,buy
2021-03-16,BUY,15,16853.37,252800.55,683,0.0,0.0,buy_signal,buy
2021-03-17,BUY,18,16903.38,304260.84,684,0.0,0.0,buy_signal,buy
2021-03-18,BUY,17,17278.454999999998,293733.735,685,0.0,0.0,buy_signal,buy
2021-03-19,SELL,3,17021.595,51064.785,675,2563.520753424659,2042.7415123664393,take_profit,take_profit
2021-03-19,SELL,21,17021.595,357453.495,677,15895.332945205475,12666.196057386984,take_profit,take_profit
2021-03-19,SELL,21,17021.595,357453.495,679,17521.634794520545,13962.114686013696,take_profit,take_profit
2021-03-19,SELL,22,17021.595,374475.09,680,21683.703287671247,17278.658964780832,take_profit,take_profit
2021-03-19,BUY,13,17028.405,221369.26499999998,686,0.0,0.0,buy_signal,buy
2021-03-22,BUY,14,16403.28,229645.91999999998,687,0.0,0.0,buy_signal,buy
2021-03-23,BUY,29,16403.28,475695.12,688,0.0,0.0,buy_signal,buy
2021-03-24,BUY,37,15678.135,580090.995,689,0.0,0.0,buy_signal,buy
2021-03-25,BUY,46,15353.07,706241.22,690,0.0,0.0,buy_signal,buy
2021-03-26,BUY,41,16053.21,658181.61,691,0.0,0.0,buy_signal,buy
2021-03-29,BUY,28,16528.305,462792.54000000004,692,0.0,0.0,buy_signal,buy
2021-03-30,SELL,46,16571.685,762297.51,690,55886.468082191815,44533.13209129455,take_profit,take_profit
2021-03-30,BUY,16,16578.315,265253.04,693,0.0,0.0,buy_signal,buy
2021-03-31,BUY,13,16453.29,213892.77000000002,694,0.0,0.0,buy_signal,buy
