date,side,shares,price,value,lot_id,realized_pnl_before_tax,realized_pnl_after_tax,reason,event_type
2017-03-30,SELL,91,7328.534000000001,666896.594,241,13588.198534246654,10827.756002014446,take_profit,take_profit
2017-03-30,SELL,91,7328.534000000001,666896.594,242,13638.355739726107,10867.723771200748,take_profit,take_profit
2017-03-30,SELL,91,7328.534000000001,666896.594,243,14144.546356164361,11271.081763909571,take_profit,take_profit
2017-03-30,SELL,90,7328.534000000001,659568.06,244,9087.071917808345,7241.03325770558,take_profit,take_profit
2017-03-31,BUY,89,7346.469,653835.741,246,0.0,0.0,buy_signal,buy
2017-04-03,BUY,91,7191.438,654420.858,247,0.0,0.0,buy_signal,buy
2017-04-04,BUY,91,7156.431,651235.221,248,0.0,0.0,buy_signal,buy
2017-04-05,BUY,91,7131.4259999999995,648959.766,249,0.0,0.0,buy_signal,buy
2017-04-06,BUY,93,7021.4039999999995,652990.5719999999,250,0.0,0.0,buy_signal,buy
2017-04-07,BUY,93,7001.4,651130.2,251,0.0,0.0,buy_signal,buy
2017-04-10,BUY,92,7051.41,648729.72,252,0.0,0.0,buy_signal,buy
2017-04-11,BUY,43,6986.397,300415.071,253,0.0,0.0,buy_signal,buy
2017-04-12,BUY,9,6896.379,62067.411,254,0.0,0.0,buy_signal,buy
2017-04-13,BUY,32,6756.351,216203.232,255,0.0,0.0,buy_signal,buy
2017-04-14,BUY,17,6721.344,114262.848,256,0.0,0.0,buy_signal,buy
2017-04-17,BUY,15,6636.327,99544.905,257,0.0,0.0,buy_signal,buy
2017-04-18,SELL,15,6823.635,102354.52500000001,257,2801.881643835626,2232.6793878904186,take_profit,take_profit
2017-04-18,BUY,10,6826.365,68263.65,258,0.0,0.0,buy_signal,buy
2017-04-20,SELL,17,6783.643,115321.931,256,1023.8916027397247,815.8880236431496,take_profit,take_profit
2017-04-20,BUY,4,6786.357,27145.428,259,0.0,0.0,buy_signal,buy
2017-04-24,SELL,32,7108.578,227474.496,255,11154.747178082216,8888.660288854815,take_profit,take_profit
2017-04-24,SELL,10,7108.578,71085.78,258,2801.2182191780867,2232.150737952058,take_profit,take_profit
2017-04-24,SELL,4,7108.578,28434.312,259,1284.6786301369882,1023.696166424659,take_profit,take_profit
2017-04-24,BUY,2,7111.422,14222.844,260,0.0,0.0,buy_signal,buy
2017-04-25,SELL,93,7088.582,659238.126,250,5610.180410959024,4470.4722604726985,take_profit,take_profit
2017-04-25,SELL,93,7088.582,659238.126,251,7519.8143835617375,5992.164091541171,take_profit,take_profit
2017-04-25,SELL,92,7088.582,652149.544,252,2887.1213150685153,2300.602619912346,take_profit,take_profit
2017-04-25,SELL,43,7088.582,304809.026,253,4168.229739726044,3321.453868100698,take_profit,take_profit
2017-04-25,SELL,9,7088.582,63797.238000000005,254,1687.4185068493198,1344.6194371828806,take_profit,take_profit
2017-04-26,SELL,91,7348.53,668716.23,247,13471.704821917781,10734.927987345185,take_profit,take_profit
2017-04-26,SELL,91,7348.53,668716.23,248,16707.673547945167,13313.509666680107,take_profit,take_profit
2017-04-26,SELL,91,7348.53,668716.23,249,19032.517863013734,15166.061859142494,take_profit,take_profit
2017-04-26,SELL,2,7348.53,14697.06,260,472.0128219178086,376.1234171452058,take_profit,take_profit
2017-05-02,SELL,86,7453.509,641001.774,245,6367.9489315068695,5074.300106071249,take_profit,take_profit
2017-05-02,SELL,89,7453.509,663362.301,246,8470.22509589035,6749.498867660225,take_profit,take_profit
2017-05-08,SELL,47,7748.45,364177.14999999997,237,11697.891808219167,9321.465087379444,take_profit,take_profit
2017-05-08,SELL,87,7748.45,674115.15,239,25670.17113698626,20455.275870507503,take_profit,take_profit
2017-05-09,SELL,5,7898.42,39492.1,192,1103.391369863015,879.2374130753434,take_profit,take_profit
2017-05-09,SELL,3,7898.42,23695.260000000002,207,1092.2134109589067,870.3302565226048,take_profit,take_profit
2017-05-09,SELL,2,7898.42,15796.84,229,524.9624657534249,418.31634083561664,take_profit,take_profit
2017-05-09,SELL,73,7898.42,576584.66,235,18035.54999999999,14371.62801749999,take_profit,take_profit
2017-05-09,SELL,68,7898.42,537092.56,236,22961.107287671293,18296.55834218087,take_profit,take_profit
