name,start,end,sessions,benchmark_return,target_return,equity_start,equity_end,equity_return,max_drawdown_pct,peak_unrealized_loss,min_maintenance_ratio,margin_call_days,forced_liquidations
2015 中国ショック / 円高 (Aug),2015-08-01,2015-09-30,40,-0.1537834419072922,-0.2968923418423973,100196134.89296944,99465813.27154101,-0.007288920098650231,0.008451341196908468,908254.3901369866,30.407750742483415,0,0
2016 円急騰 / Brexit (H1),2016-01-01,2016-06-30,122,-0.15582155927943364,-0.31786216596343175,99829476.24776062,99010691.20835443,-0.008201836473368918,0.010270174773227721,1592397.857917808,32.78278620288677,0,0
2018Q4 世界同時安,2018-10-01,2018-12-31,62,-0.17450433705829205,-0.3347350714886459,102210139.0770838,101489251.03059809,-0.00705299936968129,0.015387251638324315,1735113.6645479447,12.971755747702824,0,0
2020 コロナショック,2020-02-01,2020-04-30,60,-0.1209410291921198,-0.2527315914489311,102774320.32247187,100933299.70216075,-0.017913235665627525,0.0509480339595514,5281310.919561644,11.264614718123894,0,0
2024 8月 円キャリー巻き戻し,2024-07-15,2024-08-31,33,-0.06365410422830065,-0.1649354737173434,106797409.40955704,106698831.1694548,-0.0009230396190997858,0.01192524924170807,1316064.6954383561,22.32874117899186,0,0
