name,start,end,sessions,benchmark_return,target_return,equity_start,equity_end,equity_return,max_drawdown_pct,peak_unrealized_loss,min_maintenance_ratio,margin_call_days,forced_liquidations
2015 中国ショック / 円高 (Aug),2015-08-01,2015-09-30,40,-0.1537834419072922,-0.2968923418423973,5196134.8929694425,4465813.27154101,-0.1405509357381357,0.16280083371663026,908254.3901369866,1.4732705884910664,0,0
2016 円急騰 / Brexit (H1),2016-01-01,2016-06-30,122,-0.15582155927943364,-0.31786216596343175,4829476.247760618,4010691.2083544303,-0.16953909645706422,0.21229344881024637,1592397.857917808,1.4770743933836703,0,0
2018Q4 世界同時安,2018-10-01,2018-12-31,62,-0.17450433705829205,-0.3347350714886459,7210139.077083791,6489251.030598088,-0.09998254385645955,0.21155637710265912,1735113.6645479447,0.8260426672212825,0,0
2020 コロナショック,2020-02-01,2020-04-30,60,-0.1209410291921198,-0.2527315914489311,7774320.322471881,5933299.702160737,-0.23680791939967094,0.6424398872325574,5281310.919561644,0.4524412975658468,0,0
2024 8月 円キャリー巻き戻し,2024-07-15,2024-08-31,33,-0.06365410422830065,-0.1649354737173434,11797409.409557035,11698831.169454794,-0.008355922616568923,0.10795415293735239,1316064.6954383561,2.4665637825678868,0,0
