final_equity,max_drawdown_pct,min_equity,forced_liquidations,ruined
7218809.929535188,0.5367707892731822,2884896.8073158865,0,0.0
240353.58010766777,0.9832441083522719,88346.76742070029,98,0.0
6003219.007805243,0.03615956302881587,4862982.771963263,0,0.0
7365900.4885568395,0.13471412850784206,4973524.893333857,0,0.0
7929487.838813096,0.12956530571196895,4877346.968233038,0,0.0
7330560.368056861,0.4596681265300731,3438698.2380434577,0,0.0
7767960.518493675,0.2130071957475027,4465047.698911558,0,0.0
6125895.922460365,0.6562038157793626,2033416.0917087896,0,0.0
6789775.589192469,0.3470902933124707,4565474.171010314,0,0.0
7527766.5621269625,0.2924969177063782,3768491.302991149,0,0.0
8268312.165517817,0.1932862075159982,4458265.64281588,0,0.0
7472087.648071056,0.20649035837364596,4156261.085606786,0,0.0
7824742.686077548,0.18197624216247674,4905446.585409636,0,0.0
6897037.307503707,0.6447712929967527,1962446.8859323887,0,0.0
8568517.86027535,0.2628188937581418,3867045.5625655665,0,0.0
6889764.05902881,0.0652360294172427,4991014.472267315,0,0.0
7843986.7242787015,0.09135558247058136,4944748.737426604,0,0.0
5210273.171759924,0.6512950097286654,2151431.752740817,0,0.0
7715367.9352548765,0.19583742212573543,4533121.850639362,0,0.0
7466574.750120138,0.2795723391101502,4904101.693732556,0,0.0
8213636.682644758,0.13131782451422144,4544433.053933335,0,0.0
7535337.640238409,0.23315277125989625,4051657.4402740085,0,0.0
7907325.382157506,0.21400723971346147,3975681.1012018174,0,0.0
8218459.661307838,0.23376045913214272,4423801.4340550825,0,0.0
8132079.76334299,0.22344079464779112,4729677.755320025,0,0.0
8083466.971826095,0.26147178143735156,3780158.1772901695,0,0.0
6429780.530107869,0.11641896819740752,4601860.540851772,0,0.0
8748569.172185658,0.2616665410017079,4381711.180205441,0,0.0
7465288.543410772,0.15384788994639054,4752930.185748188,0,0.0
8367431.131061043,0.18766983584959776,4833927.168331498,0,0.0
8418241.368123537,0.19073961830456637,4414689.029650566,0,0.0
7981673.192564152,0.06379880602274317,4977579.826853038,0,0.0
6915086.416416737,0.29800921136941877,4920350.50941036,0,0.0
7038332.456256557,0.08966104016914325,4870998.421713787,0,0.0
8437452.720461326,0.2105122443467005,4358665.043831327,0,0.0
8181536.774869747,0.3012785138518505,3794159.354419507,0,0.0
8187913.8365310505,0.3210175008039715,3548719.800634682,0,0.0
7083919.0470798,0.1623575861415452,4969238.490286946,0,0.0
7900718.787107801,0.21490488296783392,4864413.1216948,0,0.0
8258475.354248244,0.36098867322279793,3696237.8006188716,0,0.0
8208106.153863876,0.14949068266951562,4717856.102733925,0,0.0
7150196.102895402,0.16746383867299847,4452003.802451184,0,0.0
8129996.583589785,0.14859209990428887,4923085.607564161,0,0.0
7560982.317244139,0.24368272398274707,4590898.59998065,0,0.0
8134385.861152669,0.3513678402898272,3830856.4158573356,0,0.0
8038333.425226888,0.1549207239171551,4537302.208159853,0,0.0
8656432.318334887,0.2956460779515329,3647078.4430227904,0,0.0
8334758.293030967,0.2303460893321846,4494292.187927178,0,0.0
6999999.592405098,0.032516064327429935,4970669.421633408,0,0.0
8479732.815659449,0.09508230407548825,4767673.237464164,0,0.0
8007711.065187903,0.20353837513533662,4022955.6368670547,0,0.0
5313183.649253955,0.5574107789688735,3040723.209078024,0,0.0
8162218.585641744,0.28724232762210256,3640057.448251862,0,0.0
8448463.87407369,0.13409937692756577,4883638.5603320245,0,0.0
7944145.108395666,0.09170129435938044,4752769.377189435,0,0.0
7385361.376621388,0.048975441555944486,4993575.614220094,0,0.0
7911160.3255892955,0.19190738608651933,4525746.64870306,0,0.0
7086039.9454315305,0.11387729931397107,4745321.039903461,0,0.0
6835938.834686299,0.28081689054669257,4676686.849235664,0,0.0
8341404.511729184,0.08485717120795744,4967274.5929119475,0,0.0
7232376.882884275,0.15949429012613223,4935932.871176486,0,0.0
7868894.385346649,0.22614808625508842,4684925.001077242,0,0.0
8250434.012849115,0.21633680371965003,4322577.998639139,0,0.0
8464194.084778266,0.19183349208826095,4466058.228258415,0,0.0
8249606.653766754,0.0665286460679215,4853974.174074272,0,0.0
7952024.748230735,0.4757357532305973,2882754.6353899697,0,0.0
