label,family,cadence,repeated,exit,final_equity,total_return,cagr,max_drawdown_pct,max_drawdown_abs,calmar,sortino,sharpe_like,ulcer_index,cvar_95_daily,time_in_drawdown_pct,avg_invested_pct,deployed_total,n_buys,n_sells,exited_early
va96_6|maexit200b|monthly|1shot,value_avg,monthly,False,maexit200b,10475377.66,0.047538,0.003865,0.045658,501170.97,0.0846,0.0789,0.2444,4.2593,0.002237,0.9769,0.015,1388344.93,16,1,True
va96_6|maexit200b|monthly|rot,value_avg,monthly,True,maexit200b,10475377.66,0.047538,0.003865,0.045658,501170.97,0.0846,0.0789,0.2444,4.2593,0.002237,0.9769,0.015,1388344.93,16,1,True
dca24|trail15|monthly|1shot,dca,monthly,False,trail15,11886150.85,0.188615,0.014455,0.187863,2749489.41,0.0769,0.078,0.2422,17.5245,0.009315,0.9766,0.0621,8333333.33,20,1,True
dca24|trail15|monthly|rot,dca,monthly,True,trail15,11886150.85,0.188615,0.014455,0.187863,2749489.41,0.0769,0.078,0.2422,17.5245,0.009315,0.9766,0.0621,8333333.33,20,1,True
dca24|maexit200|monthly|1shot,dca,monthly,False,maexit200,11886150.85,0.188615,0.014455,0.187863,2749489.41,0.0769,0.078,0.2422,17.5245,0.009315,0.9766,0.0621,8333333.33,20,1,True
dca24|maexit200|monthly|rot,dca,monthly,True,maexit200,11886150.85,0.188615,0.014455,0.187863,2749489.41,0.0769,0.078,0.2422,17.5245,0.009315,0.9766,0.0621,8333333.33,20,1,True
dca24|maexit200b|monthly|1shot,dca,monthly,False,maexit200b,11886150.85,0.188615,0.014455,0.187863,2749489.41,0.0769,0.078,0.2422,17.5245,0.009315,0.9766,0.0621,8333333.33,20,1,True
dca24|maexit200b|monthly|rot,dca,monthly,True,maexit200b,11886150.85,0.188615,0.014455,0.187863,2749489.41,0.0769,0.078,0.2422,17.5245,0.009315,0.9766,0.0621,8333333.33,20,1,True
scaled_rsi|volx45|monthly|rot,scaled,monthly,True,volx45,10253999.16,0.0254,0.002086,0.027796,285264.98,0.075,0.1471,0.1945,1.3326,0.001863,0.9855,0.0213,9926249.67,150,60,False
dipB|trail15|monthly|1shot,dip,monthly,False,trail15,11334471.62,0.133447,0.010459,0.150378,2006129.03,0.0695,0.0692,0.2151,14.0238,0.008455,0.971,0.0521,6666666.67,2,1,True
dipB|trail15|monthly|rot,dip,monthly,True,trail15,11334471.62,0.133447,0.010459,0.150378,2006129.03,0.0695,0.0692,0.2151,14.0238,0.008455,0.971,0.0521,6666666.67,2,1,True
