name,overrides,net_realized_after_tax,final_equity,max_drawdown_equity,max_unrealized_loss,average_gross_exposure,buy_trade_count,sell_trade_count,forced_liquidations,min_maintenance_ratio
baseline (next_open),{},9988026.162517307,109988026.16251731,5256961.116209686,5281310.919561644,2991047.920514512,1048,1048,0,9.75888379905126
VWAP proxy,{'fill_model': 'vwap'},10151303.23413117,110151303.23413117,5540995.124175683,5492968.641198629,3048619.492084433,1054,1054,0,9.764299278151116
adverse (High/Low),{'fill_model': 'adverse'},6571622.013154889,106571622.0131549,6055499.45053792,6007316.294205479,3842921.6771108177,956,956,0,9.326754772284538
delay +1 day,{'execution_delay_days': 1},10710240.083114607,110710240.08311461,5005786.685478717,4920168.338986301,3292186.8585092346,1012,1012,0,9.582970088737177
delay +3 days,{'execution_delay_days': 3},12015856.53559625,112039873.22052775,4466911.2991105765,4393604.395876711,3624684.0550791556,966,964,0,9.3142328145612
partial 0.5% volume,{'volume_participation': 0.005},9988026.162517307,109988026.16251731,5256961.116209686,5281310.919561644,2991047.920514512,1048,1048,0,9.75888379905126
partial 0.001% volume,{'volume_participation': 1e-05},9973412.259931086,109973412.25993109,5220566.7095917165,5244003.702356164,2979864.52176781,1052,1052,0,9.760797725915479
