label,family,cadence,repeated,exit,final_equity,total_return,cagr,max_drawdown_pct,max_drawdown_abs,calmar,sortino,sharpe_like,ulcer_index,cvar_95_daily,time_in_drawdown_pct,avg_invested_pct,deployed_total,n_buys,n_sells,exited_early
dca24|maexit200b|monthly|1shot,dca,monthly,False,maexit200b,8495059.55,-0.150494,-0.087475,0.192151,1929696.66,-0.4552,-0.6257,-1.0606,12.4792,0.016158,0.9755,0.0821,4166666.67,10,1,True
dca24|maexit200b|monthly|rot,dca,monthly,True,maexit200b,8495059.55,-0.150494,-0.087475,0.192151,1929696.66,-0.4552,-0.6257,-1.0606,12.4792,0.016158,0.9755,0.0821,4166666.67,10,1,True
trend200|maexit200|monthly|1shot,trend,monthly,False,maexit200,8358246.78,-0.164175,-0.095752,0.209538,2105123.63,-0.457,-0.6215,-1.0529,13.6084,0.017808,0.9755,0.0902,4545454.55,10,1,True
trend200|maexit200|monthly|rot,trend,monthly,True,maexit200,8358246.78,-0.164175,-0.095752,0.209538,2105123.63,-0.457,-0.6215,-1.0529,13.6084,0.017808,0.9755,0.0902,4545454.55,10,1,True
trend200|maexit200b|monthly|1shot,trend,monthly,False,maexit200b,8358246.78,-0.164175,-0.095752,0.209538,2105123.63,-0.457,-0.6215,-1.0529,13.6084,0.017808,0.9755,0.0902,4545454.55,10,1,True
trend200|maexit200b|monthly|rot,trend,monthly,True,maexit200b,8358246.78,-0.164175,-0.095752,0.209538,2105123.63,-0.457,-0.6215,-1.0529,13.6084,0.017808,0.9755,0.0902,4545454.55,10,1,True
dipA|glide12|monthly|1shot,dip,monthly,False,glide12,6526653.87,-0.347335,-0.212962,0.462063,4715299.03,-0.4609,-0.3991,-0.7263,29.1082,0.053041,0.8953,0.2147,10000000.0,3,13,True
scaled_invvol|maexit200|daily|rot,scaled,daily,True,maexit200,8849665.85,-0.115033,-0.066288,0.143117,1433392.0,-0.4632,-0.6446,-1.0907,9.458,0.011851,0.9755,0.0635,3049451.28,200,1,True
scaled_invvol|maexit200|monthly|1shot,scaled,monthly,False,maexit200,8749443.29,-0.125056,-0.072238,0.154237,1545903.73,-0.4684,-0.6681,-1.1338,10.3466,0.012461,0.9777,0.0696,3147923.6,10,1,True
scaled_invvol|maexit200|monthly|rot,scaled,monthly,True,maexit200,8749443.29,-0.125056,-0.072238,0.154237,1545903.73,-0.4684,-0.6681,-1.1338,10.3466,0.012461,0.9777,0.0696,3147923.6,10,1,True
scaled_invvol|maexit200b|monthly|1shot,scaled,monthly,False,maexit200b,8749443.29,-0.125056,-0.072238,0.154237,1545903.73,-0.4684,-0.6681,-1.1338,10.3466,0.012461,0.9777,0.0696,3147923.6,10,1,True
scaled_invvol|maexit200b|monthly|rot,scaled,monthly,True,maexit200b,8749443.29,-0.125056,-0.072238,0.154237,1545903.73,-0.4684,-0.6681,-1.1338,10.3466,0.012461,0.9777,0.0696,3147923.6,10,1,True
va48_0|hold|monthly|1shot,value_avg,monthly,False,hold,5958492.8,-0.404151,-0.252182,0.537762,5391713.28,-0.4689,-0.7029,-0.7193,21.4176,0.058082,0.9755,0.3061,9663242.83,19,0,False
va48_0|tp50|monthly|1shot,value_avg,monthly,False,tp50,5958492.8,-0.404151,-0.252182,0.537762,5391713.28,-0.4689,-0.7029,-0.7193,21.4176,0.058082,0.9755,0.3061,9663242.83,19,0,False
va48_0|tp50|monthly|rot,value_avg,monthly,True,tp50,5958492.8,-0.404151,-0.252182,0.537762,5391713.28,-0.4689,-0.7029,-0.7193,21.4176,0.058082,0.9755,0.3061,9663242.83,19,0,False
va48_0|tp100|monthly|1shot,value_avg,monthly,False,tp100,5958492.8,-0.404151,-0.252182,0.537762,5391713.28,-0.4689,-0.7029,-0.7193,21.4176,0.058082,0.9755,0.3061,9663242.83,19,0,False
va48_0|tp100|monthly|rot,value_avg,monthly,True,tp100,5958492.8,-0.404151,-0.252182,0.537762,5391713.28,-0.4689,-0.7029,-0.7193,21.4176,0.058082,0.9755,0.3061,9663242.83,19,0,False
trend100|glide12|monthly|1shot,trend,monthly,False,glide12,8942357.66,-0.105764,-0.060812,0.12912,1297200.36,-0.471,-0.6885,-1.1377,9.0613,0.010241,0.9755,0.0656,2272727.27,5,13,True
lump|trail15|monthly|1shot,lump,monthly,False,trail15,8709773.07,-0.129023,-0.074601,0.158301,1638073.09,-0.4713,-0.2195,-0.8415,15.0763,0.015435,0.98,0.1091,10000000.0,1,1,True
lump|trail15|monthly|rot,lump,monthly,True,trail15,8709773.07,-0.129023,-0.074601,0.158301,1638073.09,-0.4713,-0.2195,-0.8415,15.0763,0.015435,0.98,0.1091,10000000.0,1,1,True
dipA|maexit200|monthly|1shot,dip,monthly,False,maexit200,6409849.84,-0.359015,-0.220899,0.462063,4715299.03,-0.4781,-0.4118,-0.7688,29.8638,0.052955,0.8953,0.2068,10000000.0,3,1,True
dipA|maexit200|monthly|rot,dip,monthly,True,maexit200,6409849.84,-0.359015,-0.220899,0.462063,4715299.03,-0.4781,-0.4118,-0.7688,29.8638,0.052955,0.8953,0.2068,10000000.0,3,1,True
dipA|maexit200b|monthly|1shot,dip,monthly,False,maexit200b,6409849.84,-0.359015,-0.220899,0.462063,4715299.03,-0.4781,-0.4118,-0.7688,29.8638,0.052955,0.8953,0.2068,10000000.0,3,1,True
dipA|maexit200b|monthly|rot,dip,monthly,True,maexit200b,6409849.84,-0.359015,-0.220899,0.462063,4715299.03,-0.4781,-0.4118,-0.7688,29.8638,0.052955,0.8953,0.2068,10000000.0,3,1,True
trend100|maexit200|monthly|1shot,trend,monthly,False,maexit200,8920611.94,-0.107939,-0.062094,0.12912,1297200.36,-0.4809,-0.6917,-1.1663,9.2012,0.010241,0.9755,0.0645,2272727.27,5,1,True
trend100|maexit200|monthly|rot,trend,monthly,True,maexit200,8920611.94,-0.107939,-0.062094,0.12912,1297200.36,-0.4809,-0.6917,-1.1663,9.2012,0.010241,0.9755,0.0645,2272727.27,5,1,True
trend100|maexit200b|monthly|1shot,trend,monthly,False,maexit200b,8920611.94,-0.107939,-0.062094,0.12912,1297200.36,-0.4809,-0.6917,-1.1663,9.2012,0.010241,0.9755,0.0645,2272727.27,5,1,True
trend100|maexit200b|monthly|rot,trend,monthly,True,maexit200b,8920611.94,-0.107939,-0.062094,0.12912,1297200.36,-0.4809,-0.6917,-1.1663,9.2012,0.010241,0.9755,0.0645,2272727.27,5,1,True
dca96|hold|monthly|1shot,dca,monthly,False,hold,8652386.17,-0.134761,-0.078028,0.157892,1580605.22,-0.4942,-1.2263,-1.332,7.1989,0.009943,0.9755,0.0734,2291666.67,22,0,False
dca96|tp50|monthly|1shot,dca,monthly,False,tp50,8652386.17,-0.134761,-0.078028,0.157892,1580605.22,-0.4942,-1.2263,-1.332,7.1989,0.009943,0.9755,0.0734,2291666.67,22,0,False
dca96|tp50|monthly|rot,dca,monthly,True,tp50,8652386.17,-0.134761,-0.078028,0.157892,1580605.22,-0.4942,-1.2263,-1.332,7.1989,0.009943,0.9755,0.0734,2291666.67,22,0,False
dca96|tp100|monthly|1shot,dca,monthly,False,tp100,8652386.17,-0.134761,-0.078028,0.157892,1580605.22,-0.4942,-1.2263,-1.332,7.1989,0.009943,0.9755,0.0734,2291666.67,22,0,False
dca96|tp100|monthly|rot,dca,monthly,True,tp100,8652386.17,-0.134761,-0.078028,0.157892,1580605.22,-0.4942,-1.2263,-1.332,7.1989,0.009943,0.9755,0.0734,2291666.67,22,0,False
dca96|trail25|monthly|1shot,dca,monthly,False,trail25,8652386.17,-0.134761,-0.078028,0.157892,1580605.22,-0.4942,-1.2263,-1.332,7.1989,0.009943,0.9755,0.0734,2291666.67,22,0,False
dca96|trail25|monthly|rot,dca,monthly,True,trail25,8652386.17,-0.134761,-0.078028,0.157892,1580605.22,-0.4942,-1.2263,-1.332,7.1989,0.009943,0.9755,0.0734,2291666.67,22,0,False
dca96|trail35|monthly|1shot,dca,monthly,False,trail35,8652386.17,-0.134761,-0.078028,0.157892,1580605.22,-0.4942,-1.2263,-1.332,7.1989,0.009943,0.9755,0.0734,2291666.67,22,0,False
dca96|trail35|monthly|rot,dca,monthly,True,trail35,8652386.17,-0.134761,-0.078028,0.157892,1580605.22,-0.4942,-1.2263,-1.332,7.1989,0.009943,0.9755,0.0734,2291666.67,22,0,False
trend200|volx45|monthly|rot,trend,monthly,True,volx45,9583718.83,-0.041628,-0.023581,0.046946,470479.1,-0.5023,-0.5198,-1.6856,4.0271,0.002707,0.9777,0.0114,4545454.55,10,8,False
dca48|hold|daily|1shot,dca,daily,False,hold,7492199.06,-0.25078,-0.149597,0.295784,2966993.91,-0.5058,-1.1142,-1.1971,13.3831,0.021846,0.9733,0.1491,4454365.08,449,0,False
dca48|hold|monthly|1shot,dca,monthly,False,hold,7304772.33,-0.269523,-0.161603,0.315449,3161210.44,-0.5123,-1.1592,-1.2512,14.3824,0.022694,0.9755,0.1577,4583333.33,22,0,False
dca48|tp50|monthly|1shot,dca,monthly,False,tp50,7304772.33,-0.269523,-0.161603,0.315449,3161210.44,-0.5123,-1.1592,-1.2512,14.3824,0.022694,0.9755,0.1577,4583333.33,22,0,False
dca48|tp50|monthly|rot,dca,monthly,True,tp50,7304772.33,-0.269523,-0.161603,0.315449,3161210.44,-0.5123,-1.1592,-1.2512,14.3824,0.022694,0.9755,0.1577,4583333.33,22,0,False
dca48|tp100|monthly|1shot,dca,monthly,False,tp100,7304772.33,-0.269523,-0.161603,0.315449,3161210.44,-0.5123,-1.1592,-1.2512,14.3824,0.022694,0.9755,0.1577,4583333.33,22,0,False
dca48|tp100|monthly|rot,dca,monthly,True,tp100,7304772.33,-0.269523,-0.161603,0.315449,3161210.44,-0.5123,-1.1592,-1.2512,14.3824,0.022694,0.9755,0.1577,4583333.33,22,0,False
dca48|trail35|monthly|1shot,dca,monthly,False,trail35,7304772.33,-0.269523,-0.161603,0.315449,3161210.44,-0.5123,-1.1592,-1.2512,14.3824,0.022694,0.9755,0.1577,4583333.33,22,0,False
dca48|trail35|monthly|rot,dca,monthly,True,trail35,7304772.33,-0.269523,-0.161603,0.315449,3161210.44,-0.5123,-1.1592,-1.2512,14.3824,0.022694,0.9755,0.1577,4583333.33,22,0,False
dipA|trail15|monthly|1shot,dip,monthly,False,trail15,8529490.27,-0.147051,-0.085401,0.164175,1675391.1,-0.5202,-0.4003,-0.9416,13.7547,0.017622,0.8953,0.0888,10000000.0,3,1,True
dipA|trail15|monthly|rot,dip,monthly,True,trail15,8529490.27,-0.147051,-0.085401,0.164175,1675391.1,-0.5202,-0.4003,-0.9416,13.7547,0.017622,0.8953,0.0888,10000000.0,3,1,True
dipA|volx45|monthly|rot,dip,monthly,True,volx45,8068852.73,-0.193115,-0.11346,0.21451,2170875.27,-0.5289,-0.3488,-1.0413,14.721,0.019874,0.8976,0.0736,138816241.12,19,19,False
dipB|volx45|monthly|rot,dip,monthly,True,volx45,8626704.5,-0.13733,-0.079565,0.150114,1501137.73,-0.53,-0.2296,-0.7414,8.8693,0.01683,0.7639,0.0638,134745618.47,18,18,False
dipB|trail25|monthly|1shot,dip,monthly,False,trail25,7654579.51,-0.234542,-0.139301,0.262385,2722889.53,-0.5309,-0.564,-1.5215,21.4644,0.019019,0.8419,0.0723,6666666.67,2,1,True
dipB|trail25|monthly|rot,dip,monthly,True,trail25,7654579.51,-0.234542,-0.139301,0.262385,2722889.53,-0.5309,-0.564,-1.5215,21.4644,0.019019,0.8419,0.0723,6666666.67,2,1,True
dca96|volx45|monthly|rot,dca,monthly,True,volx45,9895060.85,-0.010494,-0.005903,0.011106,111119.02,-0.5315,-0.6336,-1.7698,0.9629,0.00066,0.9777,0.0031,2291666.67,22,19,False
dca48|volx45|monthly|rot,dca,monthly,True,volx45,9790121.69,-0.020988,-0.011834,0.022202,222238.04,-0.533,-0.6337,-1.7696,1.9249,0.001325,0.9777,0.0062,4583333.33,22,19,False
va96_6|volx45|monthly|rot,value_avg,monthly,True,volx45,9889271.33,-0.011073,-0.00623,0.011686,116922.6,-0.5331,-0.6189,-1.738,1.0167,0.000692,0.9777,0.0032,2339227.46,22,19,False
trend100|volx45|monthly|rot,trend,monthly,True,volx45,9655185.55,-0.034481,-0.019501,0.036575,366548.71,-0.5332,-0.3616,-1.4498,3.4404,0.0023,0.9777,0.0097,5909090.91,6,4,False
scaled_rsi|volx45|monthly|rot,scaled,monthly,True,volx45,9465385.96,-0.053461,-0.030366,0.056889,570075.85,-0.5338,-0.5857,-1.6314,4.8054,0.003547,0.9777,0.0158,12558049.58,22,19,False
va48_0|volx45|monthly|rot,value_avg,monthly,True,volx45,9781012.75,-0.021899,-0.01235,0.023106,231288.69,-0.5345,-0.62,-1.74,2.0093,0.001375,0.9777,0.0064,4647389.09,22,19,False
scaled_invvol|volx45|monthly|rot,scaled,monthly,True,volx45,9561136.4,-0.043886,-0.024873,0.046433,465393.28,-0.5357,-0.6125,-1.7329,4.1391,0.002742,0.9777,0.0129,5999841.64,22,19,False
dca24|volx45|monthly|rot,dca,monthly,True,volx45,9580243.39,-0.041976,-0.02378,0.044359,444476.08,-0.5361,-0.6338,-1.7692,3.8459,0.002675,0.9777,0.0126,9166666.67,22,19,False
scaled_invvol|hold|daily|1shot,scaled,daily,False,hold,6387968.8,-0.361203,-0.222393,0.414706,4153505.86,-0.5363,-1.1236,-1.2042,19.4981,0.032537,0.9755,0.2295,5989074.59,449,0,False
scaled_invvol|hold|monthly|1shot,scaled,monthly,False,hold,6245175.64,-0.375482,-0.232197,0.429664,4306500.78,-0.5404,-1.1672,-1.2564,20.4393,0.032681,0.9777,0.2375,5999841.64,22,0,False
scaled_invvol|tp50|monthly|1shot,scaled,monthly,False,tp50,6245175.64,-0.375482,-0.232197,0.429664,4306500.78,-0.5404,-1.1672,-1.2564,20.4393,0.032681,0.9777,0.2375,5999841.64,22,0,False
scaled_invvol|tp50|monthly|rot,scaled,monthly,True,tp50,6245175.64,-0.375482,-0.232197,0.429664,4306500.78,-0.5404,-1.1672,-1.2564,20.4393,0.032681,0.9777,0.2375,5999841.64,22,0,False
scaled_invvol|tp100|monthly|1shot,scaled,monthly,False,tp100,6245175.64,-0.375482,-0.232197,0.429664,4306500.78,-0.5404,-1.1672,-1.2564,20.4393,0.032681,0.9777,0.2375,5999841.64,22,0,False
scaled_invvol|tp100|monthly|rot,scaled,monthly,True,tp100,6245175.64,-0.375482,-0.232197,0.429664,4306500.78,-0.5404,-1.1672,-1.2564,20.4393,0.032681,0.9777,0.2375,5999841.64,22,0,False
lump|glide12|monthly|1shot,lump,monthly,False,glide12,4907244.93,-0.509276,-0.329369,0.601125,6220352.09,-0.5479,-0.5898,-0.9552,44.1448,0.064653,0.98,0.4511,10000000.0,1,13,True
lump|trail25|monthly|1shot,lump,monthly,False,trail25,7201891.69,-0.279811,-0.168251,0.30402,3145954.46,-0.5534,-0.3541,-1.3843,28.6465,0.023649,0.98,0.1203,10000000.0,1,1,True
lump|trail25|monthly|rot,lump,monthly,True,trail25,7201891.69,-0.279811,-0.168251,0.30402,3145954.46,-0.5534,-0.3541,-1.3843,28.6465,0.023649,0.98,0.1203,10000000.0,1,1,True
scaled_rsi|trail15|monthly|1shot,scaled,monthly,False,trail15,8499281.57,-0.150072,-0.08722,0.15674,1579796.28,-0.5565,-0.7228,-1.4469,12.9799,0.012574,0.9755,0.0684,4323579.98,8,1,True
scaled_rsi|trail15|monthly|rot,scaled,monthly,True,trail15,8499281.57,-0.150072,-0.08722,0.15674,1579796.28,-0.5565,-0.7228,-1.4469,12.9799,0.012574,0.9755,0.0684,4323579.98,8,1,True
lump|maexit200|monthly|1shot,lump,monthly,False,maexit200,4819422.59,-0.518058,-0.336132,0.601125,6220352.09,-0.5592,-0.5953,-0.9885,44.6834,0.064653,0.98,0.4432,10000000.0,1,1,True
